Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
18	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T065858.019041+0200_E20230722T070858.037925+0200_-26.97815+21.83510.wav	599.9784375	7754.22655612245	7757.22655612245	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7600
19	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7917.490299744898	7920.490299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8561
20	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7928.690299744898	7931.690299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7095
21	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7934.290299744898	7937.290299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8829
22	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7937.090299744898	7940.090299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8459
23	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7939.890299744898	7942.890299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9590
24	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7942.690299744898	7945.690299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7952
25	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7945.490299744898	7948.490299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7642
26	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7953.890299744898	7956.890299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7672
27	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7959.490299744898	7962.490299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9551
28	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7973.490299744898	7976.490299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7592
29	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	7979.090299744898	7982.090299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8574
30	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8043.490299744898	8046.490299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7575
31	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8093.890299744899	8096.890299744899	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8874
32	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8099.490299744898	8102.490299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9933
33	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8113.490299744898	8116.490299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9535
34	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8208.690299744898	8211.690299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8836
35	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8284.290299744898	8287.290299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9087
36	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8393.490299744899	8396.490299744899	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9375
37	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8438.2902997449	8441.2902997449	150	15000	pesowl1	Pearl-spotted Owlet	0.9774
38	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8446.6902997449	8449.6902997449	150	15000	pesowl1	Pearl-spotted Owlet	0.9514
39	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8463.490299744899	8466.490299744899	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7556
40	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8474.6902997449	8477.6902997449	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8125
41	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8480.290299744898	8483.290299744898	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7452
42	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8488.690299744898	8491.690299744898	150	15000	crolap1	Crowned Lapwing	0.9409
43	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T075957.937417+0200_E20230722T080957.797991+0200_-26.97815+21.83510.wav	599.8173696145125	8491.490299744899	8494.490299744899	150	15000	crolap1	Crowned Lapwing	0.9867
44	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T085957.790776+0200_E20230722T090957.656702+0200_-26.97815+21.83510.wav	599.8173696145125	8836.507669359411	8839.507669359411	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9439
45	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T085957.790776+0200_E20230722T090957.656702+0200_-26.97815+21.83510.wav	599.8173696145125	8839.30766935941	8842.30766935941	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8233
46	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T085957.790776+0200_E20230722T090957.656702+0200_-26.97815+21.83510.wav	599.8173696145125	9035.307669359412	9038.307669359412	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8541
47	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T085957.790776+0200_E20230722T090957.656702+0200_-26.97815+21.83510.wav	599.8173696145125	9091.30766935941	9094.30766935941	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9854
48	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9500.725038973924	9503.725038973924	150	15000	namsan1	Namaqua Sandgrouse	0.7608
49	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9517.525038973925	9520.525038973925	150	15000	namsan1	Namaqua Sandgrouse	0.9253
50	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9609.925038973925	9612.925038973925	150	15000	namsan1	Namaqua Sandgrouse	0.9040
51	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9623.925038973925	9626.925038973925	150	15000	namsan1	Namaqua Sandgrouse	0.9441
52	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9643.525038973925	9646.525038973925	150	15000	namsan1	Namaqua Sandgrouse	0.9348
53	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9646.325038973924	9649.325038973924	150	15000	namsan1	Namaqua Sandgrouse	0.7121
54	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9657.525038973925	9660.525038973925	150	15000	namsan1	Namaqua Sandgrouse	0.7920
55	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9660.325038973924	9663.325038973924	150	15000	namsan1	Namaqua Sandgrouse	0.8953
56	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9665.925038973925	9668.925038973925	150	15000	namsan1	Namaqua Sandgrouse	0.7925
57	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9668.725038973924	9671.725038973924	150	15000	namsan1	Namaqua Sandgrouse	0.9944
58	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9682.725038973924	9685.725038973924	150	15000	namsan1	Namaqua Sandgrouse	0.9075
59	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9685.525038973923	9688.525038973923	150	15000	namsan1	Namaqua Sandgrouse	0.9485
60	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9688.325038973924	9691.325038973924	150	15000	namsan1	Namaqua Sandgrouse	0.9501
61	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9699.525038973923	9702.525038973923	150	15000	namsan1	Namaqua Sandgrouse	0.7565
62	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T095957.688186+0200_E20230722T100957.556410+0200_-26.97815+21.83510.wav	599.8173696145125	9702.325038973924	9705.325038973924	150	15000	namsan1	Namaqua Sandgrouse	0.9647
63	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T155957.085695+0200_E20230722T160956.953313+0200_-26.97815+21.83510.wav	599.8173696145125	13080.029256661002	13083.029256661002	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8957
64	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T155957.085695+0200_E20230722T160956.953313+0200_-26.97815+21.83510.wav	599.8173696145125	13116.429256661004	13119.429256661004	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7617
65	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13324.246626275515	13327.246626275515	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8289
66	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13346.646626275515	13349.646626275515	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8127
67	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13441.846626275516	13444.846626275516	150	15000	namsan1	Namaqua Sandgrouse	0.9909
68	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13581.846626275516	13584.846626275516	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8990
69	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13598.646626275517	13601.646626275517	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8494
70	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13629.446626275516	13632.446626275516	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7537
71	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13814.246626275517	13817.246626275517	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8927
72	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13831.046626275516	13834.046626275516	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8366
73	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13833.846626275517	13836.846626275517	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9373
74	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13839.446626275516	13842.446626275516	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8287
75	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13842.246626275517	13845.246626275517	150	15000	wbswea1	White-browed Sparrow-Weaver	0.8416
76	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13845.046626275516	13848.046626275516	150	15000	wbswea1	White-browed Sparrow-Weaver	0.9251
77	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13850.646626275517	13853.646626275517	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7449
78	Spectrogram 1	1	C:\Users\vdemartsev\ownCloud\SA_field_course\Program\CBEHAV_KRC_Scripts\PAM\P04_00024969\P04_20230722_test_2\S20230722T165956.956687+0200_E20230722T170956.825045+0200_-26.97815+21.83510.wav	599.8173696145125	13864.646626275517	13867.646626275517	150	15000	wbswea1	White-browed Sparrow-Weaver	0.7454
